"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Author Keywords","Correspondence Address","Document Type","Publication Stage","Open Access","Source","EID"
"Crivellaro M.S.; Silveira T.C.L.; Custódio F.Y.; Battaglin L.C.; de Sá Dechoum M.; Fonseca A.C.; Segal B.","Crivellaro, Marcelo Schuler (57200174199); Silveira, Thiago Cesar Lima (6701572297); Custódio, Fernanda Yumi (57219980929); Battaglin, Lucas Cambraia (57219977955); de Sá Dechoum, Michele (56449299200); Fonseca, Adriana Carvalhal (57208067289); Segal, Bárbara (7102467545)","57200174199; 6701572297; 57219980929; 57219977955; 56449299200; 57208067289; 7102467545","Fighting on the edge: reproductive effort and population structure of the invasive coral Tubastraea coccinea in its southern Atlantic limit of distribution following control activities","2021","Biological Invasions","23","3","","811","823","12","9","10.1007/s10530-020-02403-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096397918&doi=10.1007%2fs10530-020-02403-5&partnerID=40&md5=c65b2347d9ddd3ed7f853c47170b1bbe","Programa de Pós-graduação em Ecologia, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; Curso de Ciências Biológicas, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; Instituto Chico Mendes de Conservação da Biodiversidade, Florianópolis, SC, Brazil; Instituto Coral Vivo, Arraial D’Ajuda, BA, Brazil","Crivellaro M.S., Programa de Pós-graduação em Ecologia, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; Silveira T.C.L., Programa de Pós-graduação em Ecologia, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; Custódio F.Y., Curso de Ciências Biológicas, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; Battaglin L.C., Curso de Ciências Biológicas, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; de Sá Dechoum M., Programa de Pós-graduação em Ecologia, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil; Fonseca A.C., Instituto Chico Mendes de Conservação da Biodiversidade, Florianópolis, SC, Brazil; Segal B., Programa de Pós-graduação em Ecologia, Universidade Federal de Santa Catarina, Florianópolis, SC, Brazil, Instituto Coral Vivo, Arraial D’Ajuda, BA, Brazil","Invasive species; Management; Marine invasion; Mechanical control; Propagules; Scleractinian corals","M.S. Crivellaro; Programa de Pós-graduação em Ecologia, Universidade Federal de Santa Catarina, Florianópolis, Brazil; email: marcelocrivellaro@gmail.com","Article","Final","","Scopus","2-s2.0-85096397918"
"Sturm A.B.; Eckert R.J.; Carreiro A.M.; Voss J.D.","Sturm, Alexis B. (57216565309); Eckert, Ryan J. (57188979913); Carreiro, Ashley M. (57224413250); Voss, Joshua D. (8691127400)","57216565309; 57188979913; 57224413250; 8691127400","Population genetic structure of the broadcast spawning coral, Montastraea cavernosa, demonstrates refugia potential of upper mesophotic populations in the Florida Keys","2022","Coral Reefs","41","3","","587","598","11","5","10.1007/s00338-021-02112-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107494514&doi=10.1007%2fs00338-021-02112-y&partnerID=40&md5=702f90ac89f785902903340a480e1afa","Harbor Branch Oceanographic Institute, Florida Atlantic University, 5600 N US-1, Fort Pierce, 34946, FL, United States","Sturm A.B., Harbor Branch Oceanographic Institute, Florida Atlantic University, 5600 N US-1, Fort Pierce, 34946, FL, United States; Eckert R.J., Harbor Branch Oceanographic Institute, Florida Atlantic University, 5600 N US-1, Fort Pierce, 34946, FL, United States; Carreiro A.M., Harbor Branch Oceanographic Institute, Florida Atlantic University, 5600 N US-1, Fort Pierce, 34946, FL, United States; Voss J.D., Harbor Branch Oceanographic Institute, Florida Atlantic University, 5600 N US-1, Fort Pierce, 34946, FL, United States","Genetic connectivity; Marine protected areas; Mesophotic coral ecosystems; Montastraea cavernosa; Population genetics","A.B. Sturm; Harbor Branch Oceanographic Institute, Florida Atlantic University, Fort Pierce, 5600 N US-1, 34946, United States; email: asturm2017@fau.edu; J.D. Voss; Harbor Branch Oceanographic Institute, Florida Atlantic University, Fort Pierce, 5600 N US-1, 34946, United States; email: jvoss2@fau.edu","Article","Final","","Scopus","2-s2.0-85107494514"
"Chaves J.A.; Lopes F.; Martínez D.; Cueva D.F.; Gavilanes G.I.; Bonatto S.L.; de Oliveira L.R.; Páez-Rosas D.","Chaves, Jaime A. (16311690900); Lopes, Fernando (55546024700); Martínez, Daniela (57735675400); Cueva, Dario F. (57204904096); Gavilanes, Gabriela I. (57671542400); Bonatto, Sandro L. (17033793100); de Oliveira, Larissa Rosa (55191597100); Páez-Rosas, Diego (36449349200)","16311690900; 55546024700; 57735675400; 57204904096; 57671542400; 17033793100; 55191597100; 36449349200","Population Genetics and Phylogeography of Galapagos Fur Seals","2022","Frontiers in Genetics","13","","725772","","","","0","10.3389/fgene.2022.725772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131714881&doi=10.3389%2ffgene.2022.725772&partnerID=40&md5=981e06da7bb7d8dd4d537d688e7048a6","Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Diego de, Robles y Pampite, Quito, Ecuador; Department of Biology, San Francisco State University, San Francisco, CA, United States; Escola de Ciências da Saúde e da Vida, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brazil; Laboratório de Ecologia de Mamíferos, Universidade do Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil; Grupo de Estudos de Mamíferos Aquáticos do Rio Grande do Sul (GEMARS), Torres, Brazil; Unidad Técnica Operativa San Cristóbal, Dirección Parque Nacional Galápagos, San Cristobal-Galapagos, Ecuador","Chaves J.A., Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Diego de, Robles y Pampite, Quito, Ecuador, Department of Biology, San Francisco State University, San Francisco, CA, United States; Lopes F., Escola de Ciências da Saúde e da Vida, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brazil, Laboratório de Ecologia de Mamíferos, Universidade do Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil; Martínez D., Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Diego de, Robles y Pampite, Quito, Ecuador; Cueva D.F., Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Diego de, Robles y Pampite, Quito, Ecuador; Gavilanes G.I., Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Diego de, Robles y Pampite, Quito, Ecuador; Bonatto S.L., Escola de Ciências da Saúde e da Vida, Pontifícia Universidade Católica do Rio Grande do Sul, Porto Alegre, Brazil; de Oliveira L.R., Laboratório de Ecologia de Mamíferos, Universidade do Vale do Rio dos Sinos (UNISINOS), São Leopoldo, Brazil, Grupo de Estudos de Mamíferos Aquáticos do Rio Grande do Sul (GEMARS), Torres, Brazil; Páez-Rosas D., Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Diego de, Robles y Pampite, Quito, Ecuador, Unidad Técnica Operativa San Cristóbal, Dirección Parque Nacional Galápagos, San Cristobal-Galapagos, Ecuador","Galapagos fur seal; haplotype; island; microsatellite; population structure","J.A. Chaves; Colegio de Ciencias Biológicas y Ambientales, Universidad San Francisco de Quito USFQ, Quito, Diego de, Robles y Pampite, Ecuador; email: jachaves@usfq.edu.ec","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85131714881"
"Blakeslee A.M.H.; Miller A.W.; Ruiz G.M.; Johannesson K.; André C.; Panova M.","Blakeslee, April M. H. (17345103500); Miller, A. Whitman (8951174500); Ruiz, Gregory M. (7101628728); Johannesson, Kerstin (55794130600); André, Carl (7202041157); Panova, Marina (23101135900)","17345103500; 8951174500; 7101628728; 55794130600; 7202041157; 23101135900","Population structure and phylogeography of two North Atlantic Littorina species with contrasting larval development","2021","Marine Biology","168","7","117","","","","8","10.1007/s00227-021-03918-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109361737&doi=10.1007%2fs00227-021-03918-8&partnerID=40&md5=1abde4977fcf67260f9e5c73f96b9a8f","Department of Biology, East Carolina University, Greenville, NC, United States; Marine Invasions Lab, Smithsonian Environmental Research Center, Edgewater, MD, United States; Department of Marine Sciences-Tjärnö, University of Gothenburg, Gothenburg, Sweden","Blakeslee A.M.H., Department of Biology, East Carolina University, Greenville, NC, United States, Marine Invasions Lab, Smithsonian Environmental Research Center, Edgewater, MD, United States; Miller A.W., Marine Invasions Lab, Smithsonian Environmental Research Center, Edgewater, MD, United States; Ruiz G.M., Marine Invasions Lab, Smithsonian Environmental Research Center, Edgewater, MD, United States; Johannesson K., Department of Marine Sciences-Tjärnö, University of Gothenburg, Gothenburg, Sweden; André C., Department of Marine Sciences-Tjärnö, University of Gothenburg, Gothenburg, Sweden; Panova M., Department of Marine Sciences-Tjärnö, University of Gothenburg, Gothenburg, Sweden","","A.M.H. Blakeslee; Department of Biology, East Carolina University, Greenville, United States; email: blakesleeap14@ecu.edu","Article","Final","","Scopus","2-s2.0-85109361737"
"Woodings L.N.; Murphy N.P.; Liggins G.W.; Miller M.E.; Ballinger G.M.; Lau S.C.Y.; Strugnell J.M.","Woodings, Laura N. (57195234432); Murphy, Nicholas P. (7103396958); Liggins, Geoffrey W. (56861352500); Miller, Marcus E. (57203424450); Ballinger, Giles M. (57331049900); Lau, Sally C. Y. (57216155475); Strugnell, Jan M. (8856608200)","57195234432; 7103396958; 56861352500; 57203424450; 57331049900; 57216155475; 8856608200","Population genomics of the Eastern Rock Lobster, Sagmariasus verreauxi, during spawning stock recovery from over-exploitation","2021","ICES Journal of Marine Science","78","7","","2448","2459","11","2","10.1093/icesjms/fsab117","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118947265&doi=10.1093%2ficesjms%2ffsab117&partnerID=40&md5=c67361d5dd1ea08343ed5a05910bb2b3","Department of Ecology, Environment and Evolution, School of Life Sciences, La Trobe University, Melbourne, 3086, VIC, Australia; NSW Department of Primary Industries, Sydney Institute of Marine Science, Mosman, 2088, NSW, Australia; Centre for Sustainable Tropical Fisheries and Aquaculture, College of Science and Engineering, James Cook University, Townsville, 4811, QLD, Australia","Woodings L.N., Department of Ecology, Environment and Evolution, School of Life Sciences, La Trobe University, Melbourne, 3086, VIC, Australia; Murphy N.P., Department of Ecology, Environment and Evolution, School of Life Sciences, La Trobe University, Melbourne, 3086, VIC, Australia; Liggins G.W., NSW Department of Primary Industries, Sydney Institute of Marine Science, Mosman, 2088, NSW, Australia; Miller M.E., NSW Department of Primary Industries, Sydney Institute of Marine Science, Mosman, 2088, NSW, Australia; Ballinger G.M., NSW Department of Primary Industries, Sydney Institute of Marine Science, Mosman, 2088, NSW, Australia; Lau S.C.Y., Centre for Sustainable Tropical Fisheries and Aquaculture, College of Science and Engineering, James Cook University, Townsville, 4811, QLD, Australia; Strugnell J.M., Department of Ecology, Environment and Evolution, School of Life Sciences, La Trobe University, Melbourne, 3086, VIC, Australia, Centre for Sustainable Tropical Fisheries and Aquaculture, College of Science and Engineering, James Cook University, Townsville, 4811, QLD, Australia","bottleneck; ddRAD Seq; fisheries management; genetic stocks; lobster; SNPs","L.N. Woodings; Department of Ecology, Environment and Evolution, School of Life Sciences, La Trobe University, Melbourne, 3086, Australia; email: laura.woodings@hotmail.com","Article","Final","","Scopus","2-s2.0-85118947265"
"Supmee V.; Songrak A.; Suppapan J.; Sangthong P.","Supmee, Verakiat (55755783000); Songrak, Apirak (36139868300); Suppapan, Juthamas (57208189937); Sangthong, Pradit (15726070000)","55755783000; 36139868300; 57208189937; 15726070000","Population genetic structure of ornate threadfin bream (Nemipterus hexodon) in Thailand","2021","Tropical Life Sciences Research","32","1","","61","80","19","4","10.21315/tlsr2021.32.1.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104111192&doi=10.21315%2ftlsr2021.32.1.4&partnerID=40&md5=86af6181819006442de4a840f133c341","Department of Science, Faculty of Science and Technology, Rajamangala University of Technology Srivijaya, Nakhon Si Thammarat Campus, Nakhon Si Thammarat, 80110, Thailand; Department of Fishery Technology, Faculty of Science and Fisheries Technology, Rajamangala University of Technology Srivijaya, Trang Campus, Trang, 92150, Thailand; Faculty of Education, Nakhon Si Thammarat Rajabhat University, Nakhon Si Thammarat, 80280, Thailand; Department of Genetics, Faculty of Science, Kasetsart University, Bangkok, 10900, Thailand","Supmee V., Department of Science, Faculty of Science and Technology, Rajamangala University of Technology Srivijaya, Nakhon Si Thammarat Campus, Nakhon Si Thammarat, 80110, Thailand; Songrak A., Department of Fishery Technology, Faculty of Science and Fisheries Technology, Rajamangala University of Technology Srivijaya, Trang Campus, Trang, 92150, Thailand; Suppapan J., Faculty of Education, Nakhon Si Thammarat Rajabhat University, Nakhon Si Thammarat, 80280, Thailand; Sangthong P., Department of Genetics, Faculty of Science, Kasetsart University, Bangkok, 10900, Thailand","COI gene; Demersal fish; Genetic diversity; Mitochondrial DNA; Thailand","V. Supmee; Department of Science, Faculty of Science and Technology, Rajamangala University of Technology Srivijaya, Nakhon Si Thammarat, Nakhon Si Thammarat Campus, 80110, Thailand; email: verakiat.s@rmutsv.ac.th","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85104111192"
"Park Y.-J.; Lee M.N.; Kang J.-H.; Park J.Y.; Noh J.K.; Choi T.-J.; Kim E.-M.","Park, Yeon-Jung (57193731039); Lee, Mi Nan (57210914009); Kang, Jung-Ha (16637187900); Park, Jung Youn (14060799400); Noh, Jae Koo (49461601400); Choi, Tae-Jin (7202770024); Kim, Eun-Mi (26643417700)","57193731039; 57210914009; 16637187900; 14060799400; 49461601400; 7202770024; 26643417700","Population genetic structure of Semisulcospira gottschei: simultaneous examination of mtDNA and microsatellite markers","2021","Molecular Biology Reports","48","1","","97","104","7","2","10.1007/s11033-020-05821-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101427062&doi=10.1007%2fs11033-020-05821-9&partnerID=40&md5=c926eb3b7c173cf0ad2a2f5644283857","Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; Department of Microbiology, Pukyoung National University, 45, Yongso-ro, Nam-Gu, Pusan, 48513, South Korea","Park Y.-J., Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; Lee M.N., Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; Kang J.-H., Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; Park J.Y., Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; Noh J.K., Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; Choi T.-J., Department of Microbiology, Pukyoung National University, 45, Yongso-ro, Nam-Gu, Pusan, 48513, South Korea; Kim E.-M., Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea","Country of origins; Microsatellite; Populations structure; Semisulcospira","E.-M. Kim; Biotechnology Research Division, National Institute of Fisheries Science, Pusan, 46083, South Korea; email: ocean0629@korea.kr","Article","Final","","Scopus","2-s2.0-85101427062"
"Nishikawa K.S.; Negri M.; Mantelatto F.L.","Nishikawa, Keity S. (57215150597); Negri, Mariana (55843856000); Mantelatto, Fernando L. (6701350378)","57215150597; 55843856000; 6701350378","Unexpected absence of population structure and high genetic diversity of the western atlantic hermit crab clibanarius antillensis stimpson, 1859 (Decapoda: Diogenidae) based on mitochondrial markers and morphological data","2021","Diversity","13","2","56","1","27","26","5","10.3390/d13020056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100430084&doi=10.3390%2fd13020056&partnerID=40&md5=c332d1e641b6f8fa9bb8d0daf4ff7c5b","Laboratory of Bioecology and Crustacean Systematics (LBSC), Department of Biology, Faculty of Philosophy, Sciences and Letters at Ribeirão Preto (FFCLRP), University of São Paulo (USP), Av. Bandeirantes 3900, Ribeirão Preto, São Paulo, 14040-901, Brazil","Nishikawa K.S., Laboratory of Bioecology and Crustacean Systematics (LBSC), Department of Biology, Faculty of Philosophy, Sciences and Letters at Ribeirão Preto (FFCLRP), University of São Paulo (USP), Av. Bandeirantes 3900, Ribeirão Preto, São Paulo, 14040-901, Brazil; Negri M., Laboratory of Bioecology and Crustacean Systematics (LBSC), Department of Biology, Faculty of Philosophy, Sciences and Letters at Ribeirão Preto (FFCLRP), University of São Paulo (USP), Av. Bandeirantes 3900, Ribeirão Preto, São Paulo, 14040-901, Brazil; Mantelatto F.L., Laboratory of Bioecology and Crustacean Systematics (LBSC), Department of Biology, Faculty of Philosophy, Sciences and Letters at Ribeirão Preto (FFCLRP), University of São Paulo (USP), Av. Bandeirantes 3900, Ribeirão Preto, São Paulo, 14040-901, Brazil","16S rRNA; Cytochrome c oxidase subunit I (COI); Larval dispersal; Mitochondrial genes; Molecular data; Redescription","F.L. Mantelatto; Laboratory of Bioecology and Crustacean Systematics (LBSC), Department of Biology, Faculty of Philosophy, Sciences and Letters at Ribeirão Preto (FFCLRP), University of São Paulo (USP), Ribeirão Preto, São Paulo, Av. Bandeirantes 3900, 14040-901, Brazil; email: flmantel@usp.br","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85100430084"
"Vargas-Fonseca O.A.; Yates P.; Kirkman S.P.; Pistorius P.A.; Moore D.M.; Natoli A.; Cockcroft V.; Hoelzel A.R.","Vargas-Fonseca, O. Alejandra (57193496711); Yates, Paige (57226786217); Kirkman, Stephan P. (7003751787); Pistorius, Pierre A. (7006186946); Moore, Daniel M. (55465413700); Natoli, Ada (7003444681); Cockcroft, Victor (6701399767); Hoelzel, A. Rus (7004310137)","57193496711; 57226786217; 7003751787; 7006186946; 55465413700; 7003444681; 6701399767; 7004310137","Population structure associated with bioregion and seasonal prey distribution for Indo-Pacific bottlenose dolphins (Tursiops aduncus) in South Africa","2021","Molecular Ecology","30","19","","4642","4659","17","1","10.1111/mec.16086","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112621543&doi=10.1111%2fmec.16086&partnerID=40&md5=fb068edfd70cfaddd6d742206564cc5e","Department of Zoology, Nelson Mandela University, Port Elizabeth, South Africa; Marine Apex Predator Research Unit (MAPRU), Institute for Coastal and Marine Research, Nelson Mandela University, Port Elizabeth, South Africa; Department of Biosciences, University of Durham, Durham, United Kingdom; Branch: Oceans and Coasts, Department of Environment, Forestry and Fisheries (DEFF), Cape Town, South Africa; Department of Life and Environmental Sciences, College of Natural and Health Sciences, Zayed University, United Arab Emirates; UAE Dolphin Project, Dubai, United Arab Emirates; Department of Oceanography, Institute for Coastal and Marine Research, Nelson Mandela University, Port Elizabeth, South Africa","Vargas-Fonseca O.A., Department of Zoology, Nelson Mandela University, Port Elizabeth, South Africa, Marine Apex Predator Research Unit (MAPRU), Institute for Coastal and Marine Research, Nelson Mandela University, Port Elizabeth, South Africa, Department of Oceanography, Institute for Coastal and Marine Research, Nelson Mandela University, Port Elizabeth, South Africa; Yates P., Department of Biosciences, University of Durham, Durham, United Kingdom; Kirkman S.P., Marine Apex Predator Research Unit (MAPRU), Institute for Coastal and Marine Research, Nelson Mandela University, Port Elizabeth, South Africa, Branch: Oceans and Coasts, Department of Environment, Forestry and Fisheries (DEFF), Cape Town, South Africa; Pistorius P.A., Department of Zoology, Nelson Mandela University, Port Elizabeth, South Africa, Marine Apex Predator Research Unit (MAPRU), Institute for Coastal and Marine Research, Nelson Mandela University, Port Elizabeth, South Africa; Moore D.M., Department of Biosciences, University of Durham, Durham, United Kingdom; Natoli A., Department of Life and Environmental Sciences, College of Natural and Health Sciences, Zayed University, United Arab Emirates, UAE Dolphin Project, Dubai, United Arab Emirates; Cockcroft V., Department of Zoology, Nelson Mandela University, Port Elizabeth, South Africa; Hoelzel A.R., Department of Biosciences, University of Durham, Durham, United Kingdom","Agulhas Bioregion; ddRADseq; genetics; Natal Bioregion; sardine run","A.R. Hoelzel; Department of Biosciences, University of Durham, Durham, United Kingdom; email: a.r.hoelzel@durham.ac.uk","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85112621543"
"Na J.; Chen W.; Zhang D.; Zhang R.; Lu B.; Shen C.; Zhou Y.; Wang C.","Na, Jieying (57211493512); Chen, Wanying (57211493205); Zhang, Dongsheng (57194606292); Zhang, Ruiyan (57196247102); Lu, Bo (57194588076); Shen, Chengcheng (57207857251); Zhou, Yadong (52063872800); Wang, Chunsheng (55684065400)","57211493512; 57211493205; 57194606292; 57196247102; 57194588076; 57207857251; 52063872800; 55684065400","Morphological description and population structure of an ophiuroid species from cobalt-rich crust seamounts in the Northwest Pacific: Implications for marine protection under deep-sea mining","2021","Acta Oceanologica Sinica","40","12","","79","89","10","6","10.1007/s13131-020-1666-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109186689&doi=10.1007%2fs13131-020-1666-1&partnerID=40&md5=7f5c65ebf702d43837cec89c017fdeca","Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China; Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Zhuhai, 519080, China; School of Marine Science, China University of Geosciences (Beijing), Beijing, 100083, China; School of Oceanography, Shanghai Jiao Tong University, Shanghai, 200230, China; State Key Laboratory of Satellite Ocean Environment Dynamics, Hangzhou, 310012, China","Na J., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China, School of Marine Science, China University of Geosciences (Beijing), Beijing, 100083, China; Chen W., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China; Zhang D., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China, Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Zhuhai, 519080, China, School of Oceanography, Shanghai Jiao Tong University, Shanghai, 200230, China; Zhang R., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China, School of Oceanography, Shanghai Jiao Tong University, Shanghai, 200230, China; Lu B., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China; Shen C., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China; Zhou Y., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China; Wang C., Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China, Southern Marine Science and Engineering Guangdong Laboratory (Zhuhai), Zhuhai, 519080, China, School of Oceanography, Shanghai Jiao Tong University, Shanghai, 200230, China, State Key Laboratory of Satellite Ocean Environment Dynamics, Hangzhou, 310012, China","cobalt-rich crust seamount; connectivity; deep-sea; Northwest Pacific; Ophiuroidea","D. Zhang; Key Laboratory of Marine Ecosystem Dynamics, Second Institute of Oceanography, Ministry of Natural Resources, Hangzhou, 310012, China; email: dszhang@sio.org.cn","Article","Final","","Scopus","2-s2.0-85109186689"
"Wang S.; Sen K.; He Y.; Bai M.; Wang G.","Wang, Suisui (57409330800); Sen, Kalyani (57209006972); He, Yaodong (57195262559); Bai, Mohan (57225707710); Wang, Guangyi (55738702500)","57409330800; 57209006972; 57195262559; 57225707710; 55738702500","Riverine Inputs Impact the Diversity and Population Structure of Heterotrophic Fungus-like Protists and Bacterioplankton in the Coastal Waters of the South China Sea","2022","Water (Switzerland)","14","10","1580","","","","1","10.3390/w14101580","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130642221&doi=10.3390%2fw14101580&partnerID=40&md5=dff280765493c14819458fae87013447","Center for Marine Environmental Ecology, School of Environmental Science and Engineering, Tianjin University, Tianjin, 300072, China; College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; Key Laboratory of Systems Bioengineering (Ministry of Education), Tianjin University, Tianjin, 300072, China; Center for Biosafety Research and Strategy, Tianjin University, Tianjin, 300072, China","Wang S., Center for Marine Environmental Ecology, School of Environmental Science and Engineering, Tianjin University, Tianjin, 300072, China; Sen K., Center for Marine Environmental Ecology, School of Environmental Science and Engineering, Tianjin University, Tianjin, 300072, China; He Y., Center for Marine Environmental Ecology, School of Environmental Science and Engineering, Tianjin University, Tianjin, 300072, China; Bai M., College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; Wang G., Center for Marine Environmental Ecology, School of Environmental Science and Engineering, Tianjin University, Tianjin, 300072, China, Key Laboratory of Systems Bioengineering (Ministry of Education), Tianjin University, Tianjin, 300072, China, Center for Biosafety Research and Strategy, Tianjin University, Tianjin, 300072, China","diversity; DNA sequencing; salinity gradient; thraustochytrids","M. Bai; College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; email: bmh@zju.edu.cn; G. Wang; Center for Marine Environmental Ecology, School of Environmental Science and Engineering, Tianjin University, Tianjin, 300072, China; email: gywang@tju.edu.cn","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85130642221"
"Gross R.; Lovrenčić L.; Jelić M.; Grandjean F.; Ðuretanović S.; Simić V.; Burimski O.; Bonassin L.; Groza M.-I.; Maguire I.","Gross, Riho (7403106360); Lovrenčić, Leona (57031868300); Jelić, Mišel (55598962100); Grandjean, Frederic (7005355159); Ðuretanović, Simona (55919599000); Simić, Vladica (8941855900); Burimski, Oksana (57151294600); Bonassin, Lena (57219773648); Groza, Marius-Ioan (57189468110); Maguire, Ivana (9844864700)","7403106360; 57031868300; 55598962100; 7005355159; 55919599000; 8941855900; 57151294600; 57219773648; 57189468110; 9844864700","Genetic diversity and structure of the noble crayfish populations in the Balkan Peninsula revealed by mitochondrial and microsatellite DNA markers","2021","PeerJ","9","","e11838","","","","6","10.7717/peerj.11838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112151146&doi=10.7717%2fpeerj.11838&partnerID=40&md5=e096ad2283c58843003ae7d46058e87e","Estonian University of Life Sciences, Tartu, Estonia; Department of Biology, Faculty of Science, University of Zagreb, Zagreb, Croatia; Department of Natural Sciences, Varaždin City Museum, Varaždin, Croatia; Université de Poitiers, Poitiers, France; University of Kragujevac, Kragujevac, Serbia; University of Oradea, Oradea, Romania","Gross R., Estonian University of Life Sciences, Tartu, Estonia; Lovrenčić L., Department of Biology, Faculty of Science, University of Zagreb, Zagreb, Croatia; Jelić M., Department of Natural Sciences, Varaždin City Museum, Varaždin, Croatia; Grandjean F., Université de Poitiers, Poitiers, France; Ðuretanović S., University of Kragujevac, Kragujevac, Serbia; Simić V., University of Kragujevac, Kragujevac, Serbia; Burimski O., Estonian University of Life Sciences, Tartu, Estonia; Bonassin L., Department of Biology, Faculty of Science, University of Zagreb, Zagreb, Croatia; Groza M.-I., University of Oradea, Oradea, Romania; Maguire I., Department of Biology, Faculty of Science, University of Zagreb, Zagreb, Croatia","Astacus astacus; Conservation; Cytochrome oxidase subunit I; Glacial refugia; South-east Europe","M. Jelić; Department of Natural Sciences, Varaždin City Museum, Varaždin, Croatia; email: mjelich@gmail.com; I. Maguire; Department of Biology, Faculty of Science, University of Zagreb, Zagreb, Croatia; email: imaguire@biol.pmf.hr","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85112151146"
