Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
16,"Fabiola Lafarga-De la Cruz, Gustavo Núñez-Acuña, Cristian Gallardo-Escárate","Hybridization between<i>Haliotis rufescens</i>and<i>Haliotis discus hannai</i>: evaluation of fertilization, larval development, growth and thermal tolerance",2012,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/j.1365-2109.2012.03121.x,,11,8/11/2025 21:21,journal-article,10.1111/j.1365-2109.2012.03121.x,1355-557X,,44,8,1206,1220,16,1.23,5,3,13,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2109.2012.03121.x,
11,"Alfonso Mardones, Alberto Augsburger, Rolando Vega, Patricio de Los Rios Escalante",Growth rates of Haliotis rufescens and Haliotis discus hannai in tank culture systems in southern Chile (41.5ºS),2013,Latin American Journal of Aquatic Research,Pontificia Universidad Catolica de Valparaiso,https://doi.org/10.3856/vol41-issue5-fulltext-14,,12,8/11/2025 21:21,journal-article,10.3856/vol41-issue5-fulltext-14,0718-560X,,41,5,959,967,11,0.92,3,4,12,,http://www.lajar.cl/index.php/rlajar/article/download/vol41-issue5-fulltext-14/782,
5,"MS Fernandez, K Arriagada, JL Arias",SEM Localization of Proteoglycans in Abalone Shell (Haliotis rufescens),2007,Microscopy and Microanalysis,Oxford University Press (OUP),https://doi.org/10.1017/s1431927607071747,,13,8/11/2025 21:21,journal-article,10.1017/s1431927607071747,1431-9276,,13,,,,5,0.28,2,3,18,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S1431927607071747,
2,,ANALYSIS OF CHROMOSOMAL DNA CONTENT IN PACIFIC RED ABALONE HALIOTIS RUFESCENS BY FLUORESCENCE IMAGE ANALYSIS,2005,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/0730-8000(2005)24[1161:aocdci]2.0.co;2,,14,8/11/2025 21:21,journal-article,10.2983/0730-8000(2005)24[1161:aocdci]2.0.co;2,0730-8000,,24,4,1161,1168,2,0.1,0,0,20,,,
49,"Agnar Steinarsson, Albert K Imsland",Size dependent variation in optimum growth temperature of red abalone (Haliotis rufescens),2003,Aquaculture,Elsevier BV,https://doi.org/10.1016/s0044-8486(03)00241-2,,15,8/11/2025 21:21,journal-article,10.1016/s0044-8486(03)00241-2,0044-8486,,224,1,353,362,49,2.23,25,2,22,,https://api.elsevier.com/content/article/PII:S0044848603002412,
0,S Stockdale,"Peer Review #1 of ""Differing responses of red abalone (Haliotis rufescens) and white abalone (H. sorenseni) to infection with phage-associated Candidatus Xenohaliotis californiensis (v0.2)""",2018,,PeerJ,https://doi.org/10.7287/peerj.5104v0.2/reviews/1,,16,8/11/2025 21:21,peer-review,10.7287/peerj.5104v0.2/reviews/1,,,,,,,0,0,0,1,7,,,
0,"G. Fabiano, O. Santana",Cultivo de algas agaríferas (Gracilaria verrucosa) y abalón rojo (Haliotis rufescens) en Uruguay,2010,Agrociencia,"Universidad de la República, Facultad de Agronomía",https://doi.org/10.31285/agro.14.893,,17,8/11/2025 21:21,journal-article,10.31285/agro.14.893,1510-0839,,14,2,222,222,0,0,0,2,15,,,
0,S Stockdale,"Peer Review #1 of ""Differing responses of red abalone (Haliotis rufescens) and white abalone (H. sorenseni) to infection with phage-associated Candidatus Xenohaliotis californiensis (v0.1)""",2018,,PeerJ,https://doi.org/10.7287/peerj.5104v0.1/reviews/1,,18,8/11/2025 21:21,peer-review,10.7287/peerj.5104v0.1/reviews/1,,,,,,,0,0,0,1,7,,,
0,,"Haliotis rufescens: Peters, H., Rogers-Bennett, L. &amp; De Shields, R.M.",2021,IUCN Red List of Threatened Species,IUCN,https://doi.org/10.2305/iucn.uk.2021-3.rlts.t78771583a78772573.en,,19,8/11/2025 21:21,dataset,10.2305/iucn.uk.2021-3.rlts.t78771583a78772573.en,,,,,,,0,0,0,0,4,,,
0,T Ben-Horin,"Peer Review #2 of ""Differing responses of red abalone (Haliotis rufescens) and white abalone (H. sorenseni) to infection with phage-associated Candidatus Xenohaliotis californiensis (v0.1)""",2018,,PeerJ,https://doi.org/10.7287/peerj.5104v0.1/reviews/2,,20,8/11/2025 21:21,peer-review,10.7287/peerj.5104v0.1/reviews/2,,,,,,,0,0,0,1,7,,,
0,T Ben-Horin,"Peer Review #2 of ""Differing responses of red abalone (Haliotis rufescens) and white abalone (H. sorenseni) to infection with phage-associated Candidatus Xenohaliotis californiensis (v0.2)""",2018,,PeerJ,https://doi.org/10.7287/peerj.5104v0.2/reviews/2,,21,8/11/2025 21:21,peer-review,10.7287/peerj.5104v0.2/reviews/2,,,,,,,0,0,0,1,7,,,
2,"Sheda Méndez Ancca, Felipe S. Amachi Fernández",Aceptabilidad de ensilado de alga parda (Lessonia trabeculata) por el abalon rojo (Haliotis rufescens) en condiciones experimentales,2018,Revista de Investigaciones Altoandinas - Journal of High Andean Research,Universidad Nacional Del Altiplano,https://doi.org/10.18271/ria.2018.392,,22,8/11/2025 21:21,journal-article,10.18271/ria.2018.392,2306-8582,,20,3,281,288,2,0.29,1,2,7,,,
0,"Edgar Mancilla-Sánchez, Amelia Portillo-López",Evidence of green fluorescent protein and growth hormone expression in red abalone (Haliotis rufescens) larvae,2017,Open Agriculture,Walter de Gruyter GmbH,https://doi.org/10.1515/opag-2017-0024,,23,8/11/2025 21:21,journal-article,10.1515/opag-2017-0024,2391-9531,,2,1,230,235,0,0,0,2,8,"Abstract: The red abalone Haliotis rufescens is a highly appreciated mollusk in the national and international markets. Due to its natural over-exploitation and low growth rate, several genetic improvements were made, however special efforts are needed to increase its production. This study presents transgenic abalone’s larvae expressing green fluorescent protein (GFP) fused to Cobia (Rachycentron canadum) Growth Hormone (GH) using sperm media transgenesis technique (SMT), pAcGFP1-N vector under the control of cytomegalovirus (CMV) promoter. Sperms were exposed to three voltages (0.5, 0.75 and 1.0 Kv) using a micropulser electroporator (Bio-Rad®). The highest GFP-GH expression average (40%) was obtained in abalone larvae at 0.75 v. GFP and GH transgenes were positively detected by PCR, western blot and confocal microscope, respectively.",http://www.degruyter.com/view/j/opag.2017.2.issue-1/opag-2017-0024/opag-2017-0024.xml,
0,"Katherine Roy, Alyssa Walter, Luke Gardner",Shell Loss Syndrome in Red and White Abalone (Haliotis rufescens and Halitois sorenseni),2024,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/035.043.0208,,24,8/11/2025 21:21,journal-article,10.2983/035.043.0208,0730-8000,,43,2,,,0,0,0,3,1,,,
1,"Todd J. Braje, Jon M. Erlandson",California’s Red Abalone (<i>Haliotis Rufescens</i>) Middens: Comment on Glassow,2016,American Antiquity,Cambridge University Press (CUP),https://doi.org/10.1017/s0002731600004029,,25,8/11/2025 21:21,journal-article,10.1017/s0002731600004029,0002-7316,,81,3,591,592,1,0.11,1,2,9,"Glassow’s (2015) synthesis of “red abalone middens” on California’s Santa Cruz Island does not include the broader geographic, chronologic, and ecological context to this phenomenon. We explore the wider distribution of these site types and emphasize their importance for addressing modern fisheries management issues.",https://www.cambridge.org/core/services/aop-cambridge-core/content/view/S0002731600004029,
10,"Luis Vargas, Pedro Quijon, Carlos Bertran",Polychaete infestation in cultured abalone (Haliotis rufescens Swainson) in Southern Chile,2005,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/j.1365-2109.2005.01249.x,,26,8/11/2025 21:21,journal-article,10.1111/j.1365-2109.2005.01249.x,1355-557X,,36,7,721,724,10,0.5,3,3,20,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2109.2005.01249.x,
3,"Todd J. Braje, Jon M. Erlandson",California's Red Abalone (&lt;I&gt;Haliotis rufescens&lt;/I&gt;) Middens: Comment On Glassow,2016,American Antiquity,Cambridge University Press (CUP),https://doi.org/10.7183/0002-7316.81.3.591,,27,8/11/2025 21:21,journal-article,10.7183/0002-7316.81.3.591,0002-7316,,81,3,591,592,3,0.33,2,2,9,,,
21,,EFFECT OF MONOSPECIFIC AND MIXED BENTHIC DIATOM CULTURES ON THE GROWTH OF RED ABALONE POSTLARVAE HALIOTIS RUFESCENS (SWAINSON 1822),2005,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/0730-8000(2005)24[401:eomamb]2.0.co;2,,28,8/11/2025 21:21,journal-article,10.2983/0730-8000(2005)24[401:eomamb]2.0.co;2,0730-8000,,24,2,401,405,21,1.05,0,0,20,,,
18,"P. CRUZ, A. M. IBARRA, G. FIORE‐AMARAL, C. E. GALINDO‐SÁNCHEZ, G. MENDOZA‐CARRIÓN",Isolation of microsatellite loci in green abalone (<i>Haliotis fulgens</i>) and cross‐species amplification in two other North American red (<i>Haliotis rufescens</i>) and pink (<i>Haliotis corrugata</i>) abalones,2005,Molecular Ecology Notes,Wiley,https://doi.org/10.1111/j.1471-8286.2005.01088.x,,29,8/11/2025 21:21,journal-article,10.1111/j.1471-8286.2005.01088.x,1471-8278,,5,4,857,859,18,0.9,4,5,20,Abstract: Microsatellite loci were isolated in,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1471-8286.2005.01088.x,
14,"William J. Farías, Federico M. Winkler, Katherina B. Brokordt","Genotype by environment interactions, heritabilities and genetic correlations for productive traits of Haliotis rufescens",2017,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2017.02.030,,30,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2017.02.030,0044-8486,,473,,407,416,14,1.75,5,3,8,,https://api.elsevier.com/content/article/PII:S0044848617303587,
332,"R. Menig, M.H. Meyers, M.A. Meyers, K.S. Vecchio",Quasi-static and dynamic mechanical response of Haliotis rufescens (abalone) shells,2000,Acta Materialia,Elsevier BV,https://doi.org/10.1016/s1359-6454(99)00443-7,,31,8/11/2025 21:21,journal-article,10.1016/s1359-6454(99)00443-7,1359-6454,,48,9,2383,2398,332,13.28,83,4,25,,https://api.elsevier.com/content/article/PII:S1359645499004437,
53,"Ford Evans, Chris J Langdon",Co-culture of dulse Palmaria mollis and red abalone Haliotis rufescens under limited flow conditions,2000,Aquaculture,Elsevier BV,https://doi.org/10.1016/s0044-8486(99)00342-7,,32,8/11/2025 21:21,journal-article,10.1016/s0044-8486(99)00342-7,0044-8486,,185,1,137,158,53,2.12,27,2,25,,https://api.elsevier.com/content/article/PII:S0044848699003427,
60,"Zaul Garcia-Esquivel, Horst Felbeck","Activity of digestive enzymes along the gut of juvenile red abalone, Haliotis rufescens, fed natural and balanced diets",2006,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2006.08.022,,33,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2006.08.022,0044-8486,,261,2,615,625,60,3.16,30,2,19,,https://api.elsevier.com/content/article/PII:S0044848606006545,
22,"Valentina Valenzuela-Muñoz, Mario A. Bueno-Ibarra, Cristian Gallardo Escárate",Characterization of the transcriptomes of<i>Haliotis rufescens</i>reproductive tissues,2012,Aquaculture Research,Hindawi Limited,https://doi.org/10.1111/are.12044,,34,8/11/2025 21:21,journal-article,10.1111/are.12044,1355-557X,,45,6,1026,1040,22,1.69,7,3,13,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fare.12044,
0,"Y. Liu, K.N. Hurwit, J.E. Shigley",Iridescence of a shell of the abalone Haliotis rufescens caused by diffraction,2002,The Journal of Gemmology,Gem-A,https://doi.org/10.15506/jog.2002.28.1.1,,35,8/11/2025 21:21,journal-article,10.15506/jog.2002.28.1.1,1355-4565,,28,1,1,5,0,0,0,3,23,,,
12,"Fabiola Lafarga De La Cruz, Gabriel Amar-Basulto, Miguel Ángel Del Río-Portilla, Cristian Gallardo-Escárate",Genetic Analysis of an Artificially Produced Hybrid Abalone (<i>Haliotis rufescens</i>×<i>Haliotis Discus Hannai</i>) in Chile,2010,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/035.029.0324,,36,8/11/2025 21:21,journal-article,10.2983/035.029.0324,0730-8000,,29,3,717,724,12,0.8,3,4,15,,,
30,"James D. Moore, Christy I. Juhasz, Thea T. Robbins, L. Ignacio Vilchis","Green abalone, Haliotis fulgens infected with the agent of withering syndrome do not express disease signs under a temperature regime permissive for red abalone, Haliotis rufescens",2009,Marine Biology,Springer Science and Business Media LLC,https://doi.org/10.1007/s00227-009-1260-8,,37,8/11/2025 21:21,journal-article,10.1007/s00227-009-1260-8,0025-3162,,156,11,2325,2330,30,1.88,8,4,16,,http://link.springer.com/content/pdf/10.1007/s00227-009-1260-8.pdf,
2,"N.K. Hernández-Ibarra, A.M. Ibarra, P. Cruz, A.R. Leitch","FISH mapping of 5S rRNA genes in chromosomes of North American abalone species, Haliotis rufescens and H. fulgens",2007,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2007.07.086,,38,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2007.07.086,0044-8486,,272,,,,2,0.11,1,4,18,,https://api.elsevier.com/content/article/PII:S0044848607006709,
11,"Alejandro Villasante, Natalia Catalán, Rodrigo Rojas, Karin B. Lohrmann, Jaime Romero",Microbiota of the Digestive Gland of Red Abalone (Haliotis rufescens) Is Affected by Withering Syndrome,2020,Microorganisms,MDPI AG,https://doi.org/10.3390/microorganisms8091411,,39,8/11/2025 21:21,journal-article,10.3390/microorganisms8091411,2076-2607,,8,9,1411,1411,11,2.2,2,5,5,"Withering syndrome (WS), an infectious disease caused by intracellular bacteria Candidatus Xenohaliotis californiensis, has provoked significant economic losses in abalone aquaculture. The pathogen infects gastroenteric epithelia, including digestive gland, disrupting the digestive system and causing a progressive wilting in abalone. Nonetheless, our knowledge about WS implications in digestive gland microbiota, and its role in diseases progress remains largely unknown. This study aims to determine whether digestive gland-associated microbiota differs between healthy red abalone (Haliotis rufescens) and red abalone affected with WS. Using high-throughput sequencing of the V4 region of the 16S rRNA gene, our results revealed differences in microbiota between groups. Bacterial genera, including Mycoplasma, Lactobacillus, Cocleimonas and Tateyamaria were significantly more abundant in healthy abalones, whilst Candidatus Xenohaliotis californiensis and Marinomonas were more abundant in WS-affected abalones. Whilst Mycoplasma was the dominant genus in the healthy group, Candidatus Xenohaliotis californiensis was dominant in the WS group. However, Candidatus Xenohaliotis californiensis was present in two healthy specimens, and thus the Mycoplasma/Candidatus Xenohaliotis californiensis ratio appears to be more determinant in specimens affected with WS. Further research to elucidate the role of digestive gland microbiota ecology in WS pathogenesis is required.",https://www.mdpi.com/2076-2607/8/9/1411/pdf,
2,"Francesco Cicala, Miguel A. Tripp-Valdez, Vincent Montes-Orozco, Gesem S. Cervantes-Vazquez, Fabiola Lafarga-De la Cruz",Effects of six diets on the growth and survival rates of postlarvae of red abalone (Haliotis rufescens) and its hybrid (H. rufescens ♀ × H. fulgens ♂),2023,Scientia Marina,Editorial CSIC,https://doi.org/10.3989/scimar.05300.055,,40,8/11/2025 21:21,journal-article,10.3989/scimar.05300.055,1886-8134,,87,1,,,2,1,0,5,2,"One of the main bottlenecks in abalone aquaculture is maintaining individuals during the weaning stage, when the natural diet changes from diatoms (postlarvae) to macroalgae (juvenile). During this period, abalone pass through profound morphological and physiological changes, which suitable nutrient requirements must sustain. An inadequate diet can result in adverse effects such as late metamorphosis, starvation, slow growth and even death during this phase. Two strategies have been proposed to increase the growth and survival rates of weaning abalone: (i) extending feeding with benthic diatoms and (ii) abalone hybridization via interspecific crosses. To evaluate the efficiency of the two strategies, we assessed the growth and survival rates of postlarvae of pure red abalone (Haliotis rufescens) and a hybrid obtained by crossing red abalone females with green abalone (H. fulgens) males. Both crosses were supplied with six different diets consisting of either one macroalgae mono-diet (Macrocystis pyrifera or Ulva ohnoi) or a mixture with Navicula incerta. Overall, cross-specific diets achieved better growth rates, suggesting that each cross may need specific food items (nutrients) during weaning. Moreover, pure red abalone generally showed the highest growth rates, while the hybrid abalone showed the highest survival rates with most tested diets. Hence, hybrids appear to be better at withstanding stressful conditions, and their use in aquaculture could reduce losses and increase commercial production.",https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/download/1944/2928,
14,Sara G. Lewis,Bags and tags: randomized response technique indicates reductions in illegal recreational fishing of red abalone (Haliotis rufescens) in Northern California,2015,Biological Conservation,Elsevier BV,https://doi.org/10.1016/j.biocon.2014.09.024,,41,8/11/2025 21:21,journal-article,10.1016/j.biocon.2014.09.024,0006-3207,,189,,72,77,14,1.4,14,1,10,,https://api.elsevier.com/content/article/PII:S0006320714003413,
6,"Patti L. TenBrook, Shellie M. Kendall, Mark R. Viant, Ronald S. Tjeerdema",Toxicokinetics and biotransformation of p-nitrophenol in red abalone (Haliotis rufescens),2003,Aquatic Toxicology,Elsevier BV,https://doi.org/10.1016/s0166-445x(02)00103-0,,42,8/11/2025 21:21,journal-article,10.1016/s0166-445x(02)00103-0,0166-445X,,62,4,329,336,6,0.27,2,4,22,,https://api.elsevier.com/content/article/PII:S0166445X02001030,
37,"Z. GARCIA-ESQUIVEL, H. FELBECK","Comparative performance of juvenile red abalone,<i>Haliotis rufescens</i>, reared in laboratory with fresh kelp and balanced diets",2009,Aquaculture Nutrition,Hindawi Limited,https://doi.org/10.1111/j.1365-2095.2008.00585.x,,43,8/11/2025 21:21,journal-article,10.1111/j.1365-2095.2008.00585.x,1353-5773,,15,2,209,217,37,2.31,19,2,16,,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1365-2095.2008.00585.x,
17,"Carl L. Demetropoulos, Chris J. Langdon","Effects of nutrient enrichment and biochemical composition of diets of Palmaria mollis on growth and condition of Japanese abalone, Haliotis discus hannai and red abalone, Haliotis rufescens",2004,Journal of Experimental Marine Biology and Ecology,Elsevier BV,https://doi.org/10.1016/j.jembe.2004.02.019,,44,8/11/2025 21:21,journal-article,10.1016/j.jembe.2004.02.019,0022-0981,,308,2,185,206,17,0.81,9,2,21,,https://api.elsevier.com/content/article/PII:S0022098104001121,
40,"RS Burton, MJ Tegner",Enhancement of red abalone Haliotis rufescens stocks at San Miguel Island: reassessing a success story,2000,Marine Ecology Progress Series,Inter-Research Science Center,https://doi.org/10.3354/meps202303,,45,8/11/2025 21:21,journal-article,10.3354/meps202303,0171-8630,,202,,303,308,40,1.6,20,2,25,,http://www.int-res.com/articles/meps/202/m202p303.pdf,
1,"Stacey S Dojiri, Masahiro Dojiri","The Effects of Ocean Acidification on the Development and Calcification of the Larval Shells of the Red Abalone Haliotis rufescens Swainson, 1822",2014,Journal of Emerging Investigators,"The Journal of Emerging Investigators, Inc.",https://doi.org/10.59720/14-016,,46,8/11/2025 21:21,journal-article,10.59720/14-016,,,,,,,1,0.09,1,2,11,"This study focuses on the effects of increasing atmospheric carbon dioxide and decreasing pH on the development and calcification of larval red abalone shells. Experimental bowls were inoculated with 2 mL of a homogenous mixture of red abalone embryos. Six replicate bowls were placed inside each of four plexiglass gas chambers: a control chamber injected with 200 cc of air, a chamber injected with 200 cc of 10% CO₂, another injected with 400 cc of 10% CO₂, and a fourth chamber injected with 600 cc of 10% CO₂. After 48 hours, the chambers were opened, and the abalone larvae were transferred into culture flasks, fixed with formalin, and examined under an inverted compound microscope. Statistically significant differences between the treatments (increasing levels of CO₂ and decreasing pH) on red abalone shell development and calcification were observed even at the lowest volume of CO₂ injected (i.e., 200 cc of CO₂). These results strongly suggest that increasing levels of CO₂ and decreasing levels of pH result in abnormal abalone larval development. The results also support the use of CO₂ injection into gas chambers to mimic the real-life processes of ocean acidification and the use of the EPA-approved red abalone chronic toxicity test protocol, which is typically used to assess toxicity of sewage and treated sewage (effluent), as an appropriate method for investigating the effects of ocean acidification on the larval development of the abalone.",https://emerginginvestigators.org/articles/14-016/pdf,
20,"J.O.G. Kemp, P.J. Britz, P.H. Toledo Agüero","The effect of macroalgal, formulated and combination diets on growth, survival and feed utilisation in the red abalone Haliotis rufescens",2015,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2015.06.016,,47,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2015.06.016,0044-8486,,448,,306,314,20,2,7,3,10,,https://api.elsevier.com/content/article/PII:S0044848615300557,
7,"Scott L. Shofer, Ronald S. Tjeerdema",Sublethal Effects of Pentachlorophenol in Abalone (Haliotis rufescens) Veliger Larvae as Measured by 31P-NMR,2002,Ecotoxicology and Environmental Safety,Elsevier BV,https://doi.org/10.1006/eesa.2002.2141,,48,8/11/2025 21:21,journal-article,10.1006/eesa.2002.2141,0147-6513,,51,3,155,160,7,0.3,4,2,23,,https://api.elsevier.com/content/article/PII:S014765130292141X,
39,"LAURA ROGERS-BENNETT, DONALD W. ROGERS, STEVEN A. SCHULTZ",MODELING GROWTH AND MORTALITY OF RED ABALONE (HALIOTIS RUFESCENS) IN NORTHERN CALIFORNIA,2007,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/0730-8000(2007)26[719:mgamor]2.0.co;2,,49,8/11/2025 21:21,journal-article,10.2983/0730-8000(2007)26[719:mgamor]2.0.co;2,0730-8000,,26,3,719,727,39,2.17,13,3,18,,,
0,"Jesús Roberto Oyervides-Figueroa, Ana Denise Re-Araujo, Fernando Díaz-Herrera, Carlos Orión Norzagaray-López, Victoria María Díaz-Castañeda, Miguel A. Tripp-Valdez, Clara E. Galindo-Sánchez, Fabiola Lafarga-De la Cruz",Improved growth performance and physiological state in hybrid abalone (Haliotis rufescens and Haliotis fulgens) facing ocean acidification conditions,2025,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2024.741791,,50,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2024.741791,0044-8486,,596,,741791,741791,0,0,0,8,1,,https://api.elsevier.com/content/article/PII:S0044848624012535,
3,"FABIÁN AVILÉS, NICOLÁS ROZBACZYLO, MARCOS GODOY, GERARDO MUÑOZ",THE FIRST REPORT OF PHORONIS SP. (PHORONIDA) IN RED ABALONE (HALIOTIS RUFESCENS) IN CHILE,2007,Journal of Shellfish Research,National Shellfisheries Association,https://doi.org/10.2983/0730-8000(2007)26[859:tfrops]2.0.co;2,,51,8/11/2025 21:21,journal-article,10.2983/0730-8000(2007)26[859:tfrops]2.0.co;2,0730-8000,,26,3,859,861,3,0.17,1,4,18,,,
12,"Fernando Silva-Aciares, Dario Moraga, Carlos Riquelme",Effect of copper on the immunomodulatory activities of haemocytes in juveniles of the abalone Haliotis rufescens cultivated under hatchery conditions,2013,Aquaculture,Elsevier BV,https://doi.org/10.1016/j.aquaculture.2013.06.025,,52,8/11/2025 21:21,journal-article,10.1016/j.aquaculture.2013.06.025,0044-8486,,410,,72,78,12,1,4,3,12,,https://api.elsevier.com/content/article/PII:S0044848613002998,
0,"Alain Van Wormhoudt, Miguel Ángel del Río Portilla, Stephanie Auzoux-Bordenave",Gene structure and domain architecture in the biomineralizing protein Lustrin A from the abalone Haliotis rufescens,2018,Gene Reports,Elsevier BV,https://doi.org/10.1016/j.genrep.2018.05.004,,53,8/11/2025 21:21,journal-article,10.1016/j.genrep.2018.05.004,2452-0144,,12,,15,20,0,0,0,3,7,,https://api.elsevier.com/content/article/PII:S2452014418300517,
